Codering_3,HuishoudensTotaal_28,IndelingswijzigingWijkenEnBuurten_4,Year
BU01095066,10,1,2021
BU01095067,20,1,2021
BU17060000,3560,1,2021
BU17060001,155,1,2021
BU17060002,150,1,2021
BU17060008,140,1,2021
BU17060009,45,1,2021
BU17060100,850,1,2021
BU17060101,45,1,2021
BU17060109,45,1,2021
BU17060200,605,1,2021
BU17060201,0,1,2021
BU17060209,10,1,2021
BU17060300,1980,1,2021
BU17060301,90,1,2021
BU17060302,0,1,2021
BU17060308,75,1,2021
BU17060309,45,1,2021
BU17060400,715,1,2021
BU17060409,35,1,2021
BU17060500,290,1,2021
BU17060509,0,1,2021
BU16840116,20,1,2021
BU16840118,85,1,2021
BU16840207,25,1,2021
BU16840209,125,1,2021
BU16840217,15,1,2021
BU16840303,390,1,2021
BU16840315,110,1,2021
BU16840410,570,1,2021
BU16840419,140,1,2021
BU16840601,1595,1,2021
BU16840602,2120,1,2021
BU16840611,110,1,2021
BU16840612,20,1,2021
BU16840613,2980,1,2021
BU16840614,15,1,2021
BU16840620,1480,1,2021
BU16841105,960,1,2021
BU16841106,250,1,2021
BU16841404,130,1,2021
BU16841408,65,1,2021
BU01480101,540,1,2021
BU01480102,285,1,2021
BU01480103,620,1,2021
BU01480104,865,1,2021
BU01480105,820,1,2021
BU01480106,720,1,2021
BU01480107,65,1,2021
BU01480108,35,1,2021
BU01480109,255,1,2021
BU01480110,135,1,2021
BU01480111,130,1,2021
BU01480112,185,1,2021
BU01480113,45,1,2021
BU01480114,95,1,2021
BU01480115,140,1,2021
BU01480116,290,1,2021
BU01480117,185,1,2021
BU01480118,225,1,2021
BU01480119,430,1,2021
BU01480201,910,1,2021
BU01480202,420,1,2021
BU01480203,810,1,2021
BU01480204,390,1,2021
BU01480205,555,1,2021
BU01480206,40,1,2021
BU01480207,30,1,2021
BU01480208,215,1,2021
BU01480209,85,1,2021
BU01480210,260,1,2021
BU01480211,90,1,2021
BU01480301,520,1,2021
BU01480302,650,1,2021
BU01480303,265,1,2021
BU01480304,30,1,2021
BU01480305,240,1,2021
BU01480306,175,1,2021
BU07620000,3090,1,2021
BU07620001,1120,1,2021
BU07620002,745,1,2021
BU07620003,400,1,2021
BU07620004,1785,1,2021
BU07620005,1970,1,2021
BU07620006,295,1,2021
BU07620007,145,1,2021
BU07620009,1160,1,2021
BU07620100,465,1,2021
BU07620109,90,1,2021
BU07620200,1060,1,2021
BU07620209,300,1,2021
BU07620300,585,1,2021
BU07620309,195,1,2021
BU07620400,295,1,2021
BU07620409,95,1,2021
BU01500101,1875,1,2021
BU01500102,430,1,2021
BU01500103,575,1,2021
BU01500104,250,1,2021
BU01500105,660,1,2021
BU01500106,530,1,2021
BU01500107,910,1,2021
BU01500201,985,1,2021
BU01500301,705,1,2021
BU01500302,1040,1,2021
BU01500303,775,1,2021
BU01500304,1390,1,2021
BU01500305,865,1,2021
BU01500306,1320,1,2021
BU01500401,1290,1,2021
BU01500402,670,1,2021
BU01500403,555,1,2021
BU01500404,1080,1,2021
BU01500405,910,1,2021
BU01500406,855,1,2021
BU01500407,70,1,2021
BU01500501,1900,1,2021
BU01500502,760,1,2021
BU01500601,1510,1,2021
BU01500602,960,1,2021
BU01500603,565,1,2021
BU01500604,1305,1,2021
BU01500605,875,1,2021
BU01500606,305,1,2021
BU01500701,550,1,2021
BU01500702,1445,1,2021
BU01500703,345,1,2021
BU01500704,85,1,2021
BU01500705,20,1,2021
BU01500706,15,1,2021
BU01500801,1040,1,2021
BU01500802,875,1,2021
BU01500803,650,1,2021
BU01500901,1115,1,2021
BU01500902,715,1,2021
BU01500903,165,1,2021
BU01500904,745,1,2021
BU01500905,915,1,2021
BU01500906,880,1,2021
BU01500907,20,1,2021
BU01501001,140,1,2021
BU01501002,585,1,2021
BU01501003,0,1,2021
BU01501004,1075,1,2021
BU01501005,405,1,2021
BU01501006,625,1,2021
BU01501007,565,1,2021
BU01501008,605,1,2021
BU01501009,0,1,2021
BU01501010,20,1,2021
BU01501101,1870,1,2021
BU01501102,55,1,2021
BU01501103,80,1,2021
BU01501201,1975,1,2021
BU01501202,175,1,2021
BU01501301,130,1,2021
BU01501401,260,1,2021
BU01501402,45,1,2021
BU01501403,340,1,2021
BU01501501,1830,1,2021
BU01501502,295,1,2021
BU01501503,90,1,2021
BU01501504,100,1,2021
BU01501505,55,1,2021
BU17741010,395,1,2021
BU17741011,495,1,2021
BU17741012,130,1,2021
BU17741013,135,1,2021
BU17741014,825,1,2021
BU17741015,860,1,2021
BU17741017,175,1,2021
