Peildatum,Netbeheerder,Provincie,Gemeente,CBS_Buurt,CBS_Buurtcode,Aantal_aansluitingen_in_CBS-buurt,Aantal_aansluitingen_met_opwekinstallatie,Opgesteld_vermogen,WijkenEnBuurten,Gemeentenaam_1,SoortRegio_2,MeestVoorkomendePostcode_113,HuishoudensTotaal_28,GemiddeldeHuishoudensgrootte_32,Bevolkingsdichtheid_33,GemiddeldeWoningwaarde_35,PercentageEengezinswoning_36,Koopwoningen_40,InBezitWoningcorporatie_42,InBezitOverigeVerhuurders_43,BouwjaarVanaf2000_46,GemiddeldElektriciteitsverbruikTotaal_47,GemiddeldAardgasverbruikTotaal_55,Gemiddeld_opleidingsniveau,Percent_inkomensontvangers,Bedrijfsvestigingen_per_huishuidens,PersonenautoSPerHuishouden_102,AfstandTotSchool_108,Omgevingsadressendichtheid_116
202007.0,Enexis,Drenthe,Assen,Park Diepstroeten,1060310.0,220.0,146.0,499.0,Park Diepstroeten,Assen,Buurt,9404,245,2.5,1041.0,238.0,54.0,42.0,0.0,57.0,96.0,2790.0,890.0,2.292682926829268,0.5988023952095808,0.1020408163265306,1.3,2.2,332.0
202007.0,Enexis,Drenthe,Assen,Pittelo Midden,1060401.0,722.0,122.0,338.0,Pittelo Midden,Assen,Buurt,9406,785,2.2,5514.0,127.0,86.0,38.0,57.0,5.0,0.0,2460.0,1190.0,1.7709923664122138,0.7932011331444759,0.0700636942675159,0.8,0.5,1518.0
202007.0,Enexis,Drenthe,Assen,Pittelo Noord,1060402.0,663.0,122.0,351.0,Pittelo Noord,Assen,Buurt,9406,650,2.4,5700.0,143.0,94.0,76.0,11.0,13.0,6.0,2680.0,1310.0,1.865546218487395,0.7766990291262136,0.1,1.1,0.6,1340.0
202007.0,Enexis,Drenthe,Assen,Baggelhuizen Zuid,1060502.0,485.0,190.0,638.0,Baggelhuizen Zuid,Assen,Buurt,9405,485,2.2,2054.0,211.0,100.0,83.0,0.0,17.0,0.0,2870.0,1710.0,2.123456790123457,0.8450704225352113,0.1030927835051546,1.3,1.8,417.0
202007.0,Enexis,Drenthe,Assen,Baggelhuizen Midden,1060503.0,778.0,180.0,510.0,Baggelhuizen Midden,Assen,Buurt,9405,785,2.2,4549.0,159.0,92.0,82.0,14.0,4.0,4.0,2550.0,1430.0,2.022727272727273,0.8235294117647058,0.1146496815286624,1.0,1.2,563.0
202007.0,Enexis,Drenthe,Assen,Baggelhuizen Noord,1060504.0,315.0,286.0,625.0,Baggelhuizen Noord,Assen,Buurt,9405,325,2.2,4650.0,134.0,100.0,12.0,88.0,0.0,0.0,2000.0,1310.0,1.7450980392156863,0.6944444444444444,0.0307692307692307,0.8,0.6,567.0
202007.0,Enexis,Drenthe,Assen,Westerpark,1060508.0,288.0,124.0,450.0,Westerpark,Assen,Buurt,9405,230,2.1,1318.0,302.0,95.0,96.0,0.0,3.0,7.0,2920.0,1900.0,2.333333333333333,0.8163265306122449,0.1304347826086956,1.3,1.1,923.0
202007.0,Enexis,Drenthe,Assen,De Venen/De Wallen,1060600.0,454.0,85.0,288.0,De Venen/De Wallen,Assen,Buurt,9407,440,2.2,3879.0,158.0,88.0,67.0,30.0,3.0,0.0,2630.0,1190.0,1.9350649350649352,0.8247422680412371,0.0568181818181818,1.0,0.7,1515.0
202007.0,Enexis,Drenthe,Assen,De Velden/De Stukken,1060601.0,749.0,132.0,408.0,De Velden/De Stukken,Assen,Buurt,9407,750,2.4,5660.0,151.0,96.0,72.0,11.0,17.0,0.0,2620.0,1220.0,2.0144927536231885,0.7909604519774012,0.0866666666666666,1.1,0.3,1029.0
202007.0,Enexis,Drenthe,Assen,De Landen/De Akkers,1060602.0,1088.0,168.0,535.0,De Landen/De Akkers,Assen,Buurt,9407,1065,2.1,5787.0,141.0,80.0,62.0,35.0,3.0,0.0,2480.0,1050.0,1.92090395480226,0.7947019867549668,0.0892018779342723,1.0,0.5,1403.0
202007.0,Enexis,Drenthe,Assen,De Kampen/De Essen,1060603.0,690.0,175.0,565.0,De Kampen/De Essen,Assen,Buurt,9407,685,2.3,3752.0,167.0,96.0,60.0,18.0,21.0,2.0,2610.0,1220.0,2.032520325203252,0.8227848101265823,0.1021897810218978,1.1,0.8,1498.0
202007.0,Enexis,Drenthe,Assen,De Messchen,1060701.0,319.0,98.0,416.0,De Messchen,Assen,Buurt,9403,350,2.4,3388.0,278.0,91.0,93.0,0.0,7.0,0.0,3010.0,1400.0,2.367647058823529,0.8284023668639053,0.1285714285714285,1.4,0.9,687.0
202007.0,Enexis,Drenthe,Assen,De Hamels,1060702.0,214.0,91.0,382.0,De Hamels,Assen,Buurt,9403,220,2.7,3279.0,290.0,100.0,100.0,0.0,0.0,0.0,3250.0,1500.0,2.297872340425532,0.8620689655172413,0.1136363636363636,1.2,0.7,910.0
